Entity,Code,Year,Fossil fuels (TWh)
Hungary,HUN,2000,239.24075317382812
Hungary,HUN,2001,246.41262817382812
Hungary,HUN,2002,244.11044311523438
Hungary,HUN,2003,252.717041015625
Hungary,HUN,2004,253.04559326171875
Hungary,HUN,2005,264.83917236328125
Hungary,HUN,2006,262.5927734375
Hungary,HUN,2007,254.10687255859375
Hungary,HUN,2008,246.735107421875
Hungary,HUN,2009,220.28579711914062
Hungary,HUN,2010,224.36251831054688
Hungary,HUN,2011,217.6253662109375
Hungary,HUN,2012,199.82675170898438
Hungary,HUN,2013,187.85693359375
Hungary,HUN,2014,185.9056396484375
Hungary,HUN,2015,198.37442016601562
Hungary,HUN,2016,202.36865234375
Hungary,HUN,2017,215.98416137695312
Hungary,HUN,2018,217.98422241210938
Hungary,HUN,2019,217.85585021972656
Hungary,HUN,2020,211.1741943359375
Hungary,HUN,2021,219.5200958251953
Iceland,ISL,1965,5.688486576080322
Iceland,ISL,1966,6.107135772705078
Iceland,ISL,1967,5.914563179016113
Iceland,ISL,1968,6.303290367126465
Iceland,ISL,1969,5.773444652557373
Iceland,ISL,1970,5.891634464263916
Iceland,ISL,1971,6.410699367523193
Iceland,ISL,1972,6.864870071411133
Iceland,ISL,1973,7.9447245597839355
Iceland,ISL,1974,7.4140543937683105
Iceland,ISL,1975,6.963116645812988
Iceland,ISL,1976,6.99583101272583
Iceland,ISL,1977,7.316156387329102
Iceland,ISL,1978,7.7087273597717285
Iceland,ISL,1979,7.666092872619629
Iceland,ISL,1980,7.2065911293029785
Iceland,ISL,1981,7.210811614990234
Iceland,ISL,1982,6.597573280334473
Iceland,ISL,1983,6.5876665115356445
Iceland,ISL,1984,7.061461448669434
Iceland,ISL,1985,7.093075752258301
Iceland,ISL,1986,7.286753177642822
Iceland,ISL,1987,7.618377685546875
Iceland,ISL,1988,7.936949253082275
Iceland,ISL,1989,8.489046096801758
Iceland,ISL,1990,8.602876663208008
Iceland,ISL,1991,8.147544860839844
Iceland,ISL,1992,8.55443286895752
Iceland,ISL,1993,8.872780799865723
Iceland,ISL,1994,8.972947120666504
Iceland,ISL,1995,9.134001731872559
Iceland,ISL,1996,10.112202644348145
Iceland,ISL,1997,9.964473724365234
Iceland,ISL,1998,10.112936973571777
Iceland,ISL,1999,10.212201118469238
Iceland,ISL,2000,10.69821548461914
Iceland,ISL,2001,10.200827598571777
Iceland,ISL,2002,10.55862808227539
Iceland,ISL,2003,10.637617111206055
Iceland,ISL,2004,11.129196166992188
Iceland,ISL,2005,11.256200790405273
Iceland,ISL,2006,11.453036308288574
Iceland,ISL,2007,11.569497108459473
Iceland,ISL,2008,10.640056610107422
Iceland,ISL,2009,9.860662460327148
Iceland,ISL,2010,9.542614936828613
Iceland,ISL,2011,9.428261756896973
Iceland,ISL,2012,9.36335563659668
Iceland,ISL,2013,9.902570724487305
Iceland,ISL,2014,10.06750202178955
Iceland,ISL,2015,10.999993324279785
Iceland,ISL,2016,12.18707275390625
Iceland,ISL,2017,13.438394546508789
Iceland,ISL,2018,14.440814018249512
Iceland,ISL,2019,12.403624534606934
Iceland,ISL,2020,7.312896251678467
India,IND,1965,562.7749633789062
India,IND,1966,579.228271484375
India,IND,1967,592.2042236328125
India,IND,1968,627.5498046875
India,IND,1969,693.5150756835938
India,IND,1970,670.02880859375
India,IND,1971,692.910888671875
India,IND,1972,737.4221801757812
India,IND,1973,745.7451171875
India,IND,1974,800.7030029296875
India,IND,1975,848.6298217773438
India,IND,1976,889.2078247070312
India,IND,1977,939.1828002929688
India,IND,1978,948.443359375
India,IND,1979,1016.1241455078125
India,IND,1980,1047.712158203125
India,IND,1981,1167.579345703125
India,IND,1982,1182.4949951171875
India,IND,1983,1254.2587890625
India,IND,1984,1330.718505859375
India,IND,1985,1418.2611083984375
India,IND,1986,1525.8997802734375
India,IND,1987,1642.9735107421875
India,IND,1988,1783.56298828125
India,IND,1989,1944.6181640625
India,IND,1990,2086.010498046875
India,IND,1991,2193.08642578125
India,IND,1992,2326.7900390625
India,IND,1993,2388.339111328125
India,IND,1994,2504.122802734375
India,IND,1995,2713.743408203125
India,IND,1996,2848.56103515625
India,IND,1997,3009.74462890625
India,IND,1998,3162.59521484375
India,IND,1999,3260.486572265625
India,IND,2000,3446.0302734375
India,IND,2001,3466.2529296875
India,IND,2002,3589.968505859375
India,IND,2003,3728.39892578125
India,IND,2004,3964.437744140625
India,IND,2005,4237.513671875
India,IND,2006,4427.84716796875
India,IND,2007,4801.275390625
India,IND,2008,5125.357421875
India,IND,2009,5569.546875
India,IND,2010,5795.220703125
India,IND,2011,6066.515625
India,IND,2012,6486.74658203125
India,IND,2013,6672.58203125
India,IND,2014,7136.7607421875
India,IND,2015,7354.267578125
India,IND,2016,7694.04931640625
India,IND,2017,7951.88916015625
India,IND,2018,8428.4541015625
India,IND,2019,8531.94921875
India,IND,2020,7959.427734375
India,IND,2021,8814.63671875
Indonesia,IDN,1965,79.11888122558594
Indonesia,IDN,1966,76.87850189208984
Indonesia,IDN,1967,75.01717376708984
Indonesia,IDN,1968,78.68954467773438
Indonesia,IDN,1969,89.60602569580078
Indonesia,IDN,1970,94.58032989501953
Indonesia,IDN,1971,97.82477569580078
Indonesia,IDN,1972,104.42103576660156
Indonesia,IDN,1973,117.27376556396484
Indonesia,IDN,1974,125.50778198242188
Indonesia,IDN,1975,154.57945251464844
Indonesia,IDN,1976,164.83071899414062
Indonesia,IDN,1977,216.870849609375
Indonesia,IDN,1978,246.13058471679688
Indonesia,IDN,1979,280.3205871582031
Indonesia,IDN,1980,301.8604431152344
Indonesia,IDN,1981,323.9158935546875
Indonesia,IDN,1982,330.0001220703125
Indonesia,IDN,1983,347.66070556640625
Indonesia,IDN,1984,382.7451477050781
Indonesia,IDN,1985,404.80401611328125
Indonesia,IDN,1986,427.85284423828125
Indonesia,IDN,1987,451.94354248046875
Indonesia,IDN,1988,476.51849365234375
Indonesia,IDN,1989,526.2994384765625
